epoch,train_acc_sst,train_acc_para,train_acc_sts,train_acc,dev_acc_sst,dev_acc_para,dev_acc_sts,dev_acc
0,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.47229791099000906,0.7640510587769642,0.5931569234060489,0.6098352977243408
1,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5158946412352406,0.7902731050860875,0.6752509934214747,0.6604729132476009
2,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5031789282470481,0.7772610330496734,0.6596591218388428,0.6466996943785215
3,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5004541326067211,0.8020977637047298,0.6824352048795799,0.661662367063677
4,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4841053587647593,0.7973481100336434,0.679564608637856,0.6536726924787529
5,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4904632152588556,0.7831486245794578,0.6874504748985021,0.6536874382456052
6,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.45776566757493187,0.7923510785671878,0.6936600189278092,0.6479255883566429
7,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5004541326067211,0.7927963585988521,0.6907210842736459,0.661323858493073
8,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.47774750227066304,0.8018998614684346,0.6809224188167075,0.653523260851935
9,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.48501362397820164,0.8097664753611716,0.695554616753595,0.6634449053643228
