epoch,train_acc_sst,train_acc_para,train_acc_sts,train_acc,dev_acc_sst,dev_acc_para,dev_acc_sts,dev_acc
0,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.48864668483197093,0.7598456362556897,0.5363963239104123,0.5949628816660243
1,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5140781108083561,0.7842865624381555,0.6253584875803494,0.6412410536089537
2,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4786557674841054,0.7786463487037404,0.6570835599526413,0.6381285587134956
3,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4986376021798365,0.7932911141895903,0.6740328708418294,0.6553205290704187
4,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5040871934604905,0.8037799327132397,0.668818196301212,0.6588951074916474
5,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4750227066303361,0.779536908767069,0.6880059793646733,0.6475218649206927
6,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.48047229791099,0.7997724124282605,0.6866042371099386,0.6556163158163963
7,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.49227974568574023,0.7995745101919651,0.6894650119922481,0.6604397559566512
8,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5013623978201635,0.7998713635464081,0.6921101539541463,0.6644479717735726
9,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4950045413260672,0.7972491589154957,0.6870945490119473,0.6597827497511701
