epoch,train_acc_sst,train_acc_para,train_acc_sts,train_acc,dev_acc_sst,dev_acc_para,dev_acc_sts,dev_acc
0,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.48319709355131696,0.7768157530180091,0.7467065135128305,0.6689064533607189
1,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5022706630336058,0.7790421531763309,0.7534419553565272,0.6782515905221547
2,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4786557674841054,0.7949732831981001,0.7692079627119621,0.6809456711313892
3,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.49318801089918257,0.7778052641994855,0.7899175099010991,0.686970261666589
4,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4940962761126249,0.7883930338412825,0.7775231766123517,0.6866708288554197
5,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5031789282470481,0.7965070255293885,0.7670477657706526,0.6889112398490297
6,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4977293369663942,0.7838412824064912,0.7751329832579598,0.685567867543615
7,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5140781108083561,0.7894320205818326,0.7641258256158712,0.6892119856686866
8,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.48864668483197093,0.7974965367108648,0.7670458029709071,0.684396341504581
9,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5122615803814714,0.7983870967741935,0.7608452559145196,0.6904979776900615
