epoch,train_acc_sst,train_acc_para,train_acc_sts,train_acc,dev_acc_sst,dev_acc_para,dev_acc_sts,dev_acc
0,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4913714804722979,0.872006728676034,0.8573715880690488,0.7402499324057935
1,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.51952770208901,0.8800712448050663,0.8700103283362054,0.7565364250767606
2,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5004541326067211,0.8815555115772808,0.8712787652657235,0.7510961364832417
3,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5149863760217984,0.8843756184444884,0.8778771571954245,0.7590797172205704
4,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.51952770208901,0.8884820898476152,0.8820990138342134,0.7633696019236128
5,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4940962761126249,0.888828418761132,0.8821917331633149,0.7550388093456907
6,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4786557674841054,0.8875915297842866,0.8767998742649853,0.7476823905111257
7,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5122615803814714,0.8868493963981793,0.880939942740101,0.7600169731732507
8,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5031789282470481,0.8881357609340985,0.8823387311347116,0.7578844734386195
9,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.45322434150772023,0.8889768454383534,0.8793560320627695,0.7405190730029477
