epoch,train_acc_sst,train_acc_para,train_acc_sts,train_acc,dev_acc_sst,dev_acc_para,dev_acc_sts,dev_acc
0,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.49954586739327883,0.8733425687710271,0.8542399950277281,0.7423761437306781
1,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4877384196185286,0.8800712448050663,0.8753119528378142,0.747707205753803
2,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5158946412352406,0.8869483475163269,0.8766718076771662,0.7598382654762444
3,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4950045413260672,0.8882347120522462,0.878398727413421,0.7538793269305781
4,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.49954586739327883,0.8888778943202058,0.8839180402863128,0.7574472673332658
5,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4986376021798365,0.885859885216703,0.8752739140140222,0.7532571338035204
6,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4940962761126249,0.8896200277063131,0.8787513091871811,0.7541558710020397
7,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4913714804722979,0.8915990500692658,0.8868450941321706,0.7566052082245781
8,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5077202543142597,0.8901147832970513,0.884115786693734,0.7606502747683485
9,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5104450499545867,0.8882347120522462,0.8822687918625524,0.7603161846231284
