epoch,train_acc_sst,train_acc_para,train_acc_sts,train_acc,dev_acc_sst,dev_acc_para,dev_acc_sts,dev_acc
0,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.47593097184377836,0.8711656441717791,0.86610438453404,0.7377336668498659
1,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4950045413260672,0.8854640807441124,0.8695205493685579,0.7499963904795792
2,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5004541326067211,0.8845240451217099,0.880176819557146,0.7550516657618589
3,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5013623978201635,0.8840787650900456,0.8780353195332471,0.7544921608144853
4,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.48864668483197093,0.889372649910944,0.8745445876190995,0.7508546407873381
5,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4841053587647593,0.8820997427270928,0.8785336592835804,0.748246253591811
6,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5049954586739328,0.8905105877696418,0.8789175764063912,0.7581412076166553
7,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.49591280653950953,0.8869978230754008,0.8780805943634936,0.7536637413261347
8,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4904632152588556,0.8898674055016822,0.8797181674303678,0.7533495960636353
9,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4868301544050863,0.8898674055016822,0.8817851980399757,0.7528275859822481
