epoch,train_acc_sst,train_acc_para,train_acc_sts,train_acc,dev_acc_sst,dev_acc_para,dev_acc_sts,dev_acc
0,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4732061762034514,0.8756679200474965,0.8650247854107487,0.7379662938872323
1,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5004541326067211,0.8820997427270928,0.8778309912913123,0.7534616222083755
2,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5140781108083561,0.8862062141302197,0.8710764647491067,0.7571202632292274
3,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5077202543142597,0.8893231743518701,0.8772483143361495,0.7580972476674264
4,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5122615803814714,0.8879378586978033,0.8797985693665302,0.7599993361486016
5,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5022706630336058,0.8849693251533742,0.8806696812915937,0.7559698898261912
6,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.49591280653950953,0.8869978230754008,0.8795716272124418,0.754160752275784
7,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.49591280653950953,0.8900158321789037,0.8812105929046217,0.7557130772076782
8,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5022706630336058,0.8893231743518701,0.8843377610151738,0.75864386613355
9,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.48864668483197093,0.889916881060756,0.8819277175749142,0.7534970944892136
