epoch,train_acc_sst,train_acc_para,train_acc_sts,train_acc,dev_acc_sst,dev_acc_para,dev_acc_sts,dev_acc
0,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.45413260672116257,0.7513358400949931,0.7579788123982423,0.6544824197381326
1,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5040871934604905,0.7678112012665743,0.7655284254824593,0.6791422734031748
2,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.47411444141689374,0.7785473975855928,0.761592939524373,0.6714182595089531
3,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4895549500454133,0.7769147041361567,0.7841178040069763,0.6835291527295154
4,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4986376021798365,0.7713734415198892,0.7811181784071447,0.6837097407022901
5,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4841053587647593,0.7946764298436573,0.7831625883077428,0.6873147923053864
6,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4913714804722979,0.7941321986938452,0.7797745681873006,0.6884260824511479
7,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.46321525885558584,0.7933900653077379,0.7773478526531586,0.6779843922721608
8,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4822888283378747,0.8015535325549179,0.7915462919800982,0.6917962176242969
9,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4732061762034514,0.8040273105086088,0.7801874305555259,0.6858069724225286
