epoch,train_acc_sst,train_acc_para,train_acc_sts,train_acc,dev_acc_sst,dev_acc_para,dev_acc_sts,dev_acc
0,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4986376021798365,0.859835741143875,0.8437753034881419,0.7340828822706178
1,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.49227974568574023,0.8738373243617653,0.874413413124264,0.74684349439059
2,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4877384196185286,0.8802196714822877,0.8808474122671132,0.7496018344559765
3,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.47593097184377836,0.8838313872946765,0.878999924153279,0.746254094430578
4,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4768392370572207,0.8792796358598852,0.8844283717179542,0.74684908154502
5,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4950045413260672,0.8859093607757768,0.8828735193416322,0.7545958071478255
6,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5004541326067211,0.8872452008707699,0.8842606451704256,0.7573199928826387
7,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.49227974568574023,0.888581040965763,0.8777585308457927,0.7528731058324319
8,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4750227066303361,0.8846229962398575,0.8862431508537929,0.7486296179079955
9,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.47956403269754766,0.8876410053433604,0.8833813731216082,0.7501954703875054
