epoch,train_acc_sst,train_acc_para,train_acc_sts,train_acc,dev_acc_sst,dev_acc_para,dev_acc_sts,dev_acc
0,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5049954586739328,0.8643380170195923,0.8731542088165075,0.7474958948366776
1,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4977293369663942,0.8753710666930536,0.8829488866200748,0.7520164300931742
2,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5131698455949137,0.8814565604591332,0.8810398304453281,0.7585554121664583
3,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4868301544050863,0.882891351672274,0.8811196399916547,0.750280382023005
4,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4950045413260672,0.8849693251533742,0.8897495518821493,0.7565744727871969
5,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.47411444141689374,0.8830892539085692,0.8893196754421092,0.7488411235891906
6,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.485921889191644,0.8848703740352266,0.887520685743723,0.752770982990198
7,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.48319709355131696,0.8878883831387294,0.8908002803452163,0.7539619190117542
8,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.47048138056312444,0.8869978230754008,0.8897310487169087,0.749070084118478
9,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4841053587647593,0.8858104096576291,0.8975927363621877,0.7558361682615254
